observation_1,observation_2,hypothesis_1,hypothesis_2,label
Amy wanted to learn how to draw.,Her face lit up when she saw her drawings were on the fridge.,Amy didn't practice drawing all day.,Amy practiced and gave the drawing to her mom.,2
Bob wanted to go to Paris.,Bob accepted the refund and never went to Paris.,"He booked a trip, but the tour company cancelled it.",Events caused Bob to speed up his trip.,1
Sara needed a prescription.,He had her prescription ready and handed it over.,Sara walked up to the pharmacy to see if her prescription was ready.,Sara went to the library to talk to the pharmacist.,1
Nina wanted a nice Halloween costume.,Nina bought a toy.,Nina was a chameleon.,She couldn't find one that interested her.,2
It snowed in Kelly's neighborhood about three feet.,Kelly was happy to make the extra money.,Kelly decided to shovel her snow into her neighbor's yard.,Kelly shoveled her neighbor's drive way.,2
Joe was walking through downtown.,He reluctantly agreed to give them an interview.,He was approached by a pretty woman.,He was approached by a survey taker.,2
Sam let Tim borrow his headphones.,Sam was just happy Tim told the truth.,Tim kept Sam's headphones safe.,Tim lost the headphones and told Sam.,2
Beth and her friends were studying together.,Everyone laughed at the funny video.,They took a study break to film videos.,Beth found a funny cat video.,2
I just completed my first marathon today.,I've never been happier.,Running a marathon is a goal I worked towards for a long time.,I trained really hard and was almost the last one to the finish line.,1
Sasha had a crush on a boy in her class.,The two went on a date to the movies.,The boy asked Sasha out.,Sasha was afraid ask him out.,1
My friends and I were playing outside.,We enthusiastically played the game till it got dark.,My friends and I were enjoying a timeout.,We were having so much fun together.,2
Tim got in a fight at school.,Tim was ashamed and wished he hadn't reacted that way.,Tim had punched a woman who insulted him.,Tim couldn't handle a joke.,2
The high school hired a new football coach.,The new coach was soon fired.,The new football coach's wife called his player names.,The coach lost every game.,2
I'll bring the lemonade and Jane can bring the cake.,"Yes, and I bought it!",I made the lemonade.,Jane asked me if I found the cake.,1
There once was a man named mcphee.,So he taught them some tricks.,McPhee then became a teacher  for kids.,he was a guy who loved magic.,2
I finished my a day at my first job.,I went home and hung out with my friends.,I had the rest of the day off.,I called my friends to tell them how it went.,1
Christian's grandma wanted to surprise him with a gift.,Christian went outside to see a brand new shiny bike.,"So, she bought him a brand new scooter and told him to come outside.",She decided to surprise him one day when he was over.,2
Braden bought a bike for his son.,Braden laughed and congratulated his wife and son on a job well done.,"Braden worked late, and his wife put the bike together.",Braden's wife taught his dog to ride it.,1
Lauren could not remember where she left her coat.,Her jacket was there and Lauren was ecstatic.,She found it very quickly.,"She checked everywhere, her room, the car, the kitchen, eventually she checked her friends.",2
Ted was excited about trying out his new lawnmower.,Ted thought his decision to spend thousands on the lawnmower was good.,He couldn't believe how effiiently and quickly the lawn mower did the job.,His new one didn't work well.,1
Gary went on vacation to the Grand Canyon.,Gary will never go back to the Grand Canyon.,Gary had a wonderful time.,Gary got scared when he tripped near the canyon.,2
Natasha wanted become a news anchor.,Natasha was thrilled when she landed her dream job.,She went in for an interview one evening.,Natasha went to broadcasting school.,2
Jim was exhausted from the night before.,"When he received his grade the next day, he was surprised to get a B.",Jim took his test after cramming because he was tired.,He was studying all night long.,2
My husband made chicken for dinner.,He put it back in the oven and it came out fine.,We wanted to eat but the chicken wasn't done.,My husband burnt it.,1
Mark was with his son at the library.,Mark thanked the man as his son picked a toy.,"The librarian showed Mark's son, some toys.",A stranger dropped a toy and Mark told him.,1
I was sitting at home studying today.,I told him he should never put his home address on his business card.,Suddenly my husband got tons of lice.,A customer came looking for him.,2
Anna went for a run on a cold day.,"The oil helped heal Anna's sore, chapped lips.",Afterwards she stopped at the tire store.,Anna asked another runner what to do about chapped lips.,2
Kelly decided to try out for a game show.,She was so excited to be on the show.,Kelly made it on the game show's audience.,Kelly was excepted on a show.,2
My mom asked for the car keys.,We requested a plumber to remove the pipe in order to get it.,My mom then started the car.,I threw the keys and they fell in the toilet.,2
Sarah loves to go hiking.,She made it to the pharmacy in time to apply some rash ointment.,Sarah had a blast.,"Sarah , went for her daily hike and step in poison sumac.",2
My mom bought a new hybrid.,She's very happy about her purchase.,My new hybrid runs great.,My mom says her gas mileage has doubled.,2
Tom took his girlfriend out for her first fishing experience.,Tom was proud of her even though he felt defeated.,That day Tom caugh no fish and his girlfriend caught three.,Tom caught three fish  and his girlfriend didn't catch anything.,1
There was a big sports game.,The police had to get involved.,A fight broke out in the field.,The sports teams started fighting.,2
This winter I went skiing in Alaska with my friend.,I cannot wait to go again next year!,The slopes had so much fun on us.,My friend and I had a great time.,2
Jimmy worked for weeks on a sculpture.,Jimmy sighed in relief when he saw nothing had been broken.,Jimmy walked by the sculpture and almost tipped it over.,"Suddenly, Jimmy stumbled and knocked into his sculpture which shattered.",1
Buddy had a problem drinking.,"With their assistance, Buddy finally got sober!",Buddy visited the local Alcoholics Drink Here Hut.,"Buddy's friends held an intervention, and they all decided they would help him quit drinking.",2
Sarah wanted to mail a card.,Sarah delivered her letter herself.,Sarah decided she would mail it instead.,Sarah decided she would bring it in person instead.,2
Bob opened the hood of his car to add more oil.,It worked well but his hands got very messy.,Bob replaced his oil.,Bob poured the oil perfectly.,1
Martha had been cooking all day.,"Martha was disappointed, and ordered take-out that night.",The food got stored.,"She followed recipes, but nothing turned out.",2
She was supposed to be at work but was at home sick.,To be thinking of Christmas in July made her feel very depressed.,She was so lonely at home.,She started shopping online for Halloween costumes.,1
